City,City Latitude,City Longitude,Max Temperature,Humidity,Cloud Coverage,Wind Speed,City Country,City DateTime
Nikolskoye,59.7,30.79,39.2,94,75,4.47,RU,2020-11-13 10:41:57
Kemijärvi,66.71,27.43,36.41,93,100,9.06,FI,2020-11-13 10:43:42
Namatanai,-3.67,152.43,79.47,80,66,3.62,PG,2020-11-13 10:41:34
Pingliang,35.54,106.69,36.0,55,0,4.36,CN,2020-11-13 10:43:47
Dikson,73.51,80.55,-1.57,93,53,9.6,RU,2020-11-13 10:41:38
Lagoa,39.05,-27.98,64.99,81,100,16.22,PT,2020-11-13 10:43:51
Port Alfred,-33.59,26.89,75.24,73,0,19.15,ZA,2020-11-13 10:41:52
Racine,42.75,-88.08,30.99,68,90,10.29,US,2020-11-13 10:39:30
Mackay,-21.15,149.2,75.2,78,51,10.29,AU,2020-11-13 10:43:58
East London,-33.02,27.91,73.4,78,0,16.11,ZA,2020-11-13 10:44:00
Muros,42.78,-9.06,63.0,73,30,5.01,ES,2020-11-13 10:44:02
Ribeira Grande,38.52,-28.7,66.2,82,20,14.99,PT,2020-11-13 10:41:55
Valente,-11.41,-39.46,91.96,32,30,3.02,BR,2020-11-13 10:44:07
Hobart,-42.88,147.33,55.4,93,90,4.7,AU,2020-11-13 10:39:34
Deyang,31.13,104.38,66.0,1,83,2.55,CN,2020-11-13 10:44:11
Mar del Plata,-38.0,-57.56,75.2,60,75,14.99,AR,2020-11-13 10:41:30
Dunedin,-45.87,170.5,57.99,47,35,5.99,NZ,2020-11-13 10:44:15
Tiksi,71.69,128.87,-3.66,92,99,1.68,RU,2020-11-13 10:44:18
Sisimiut,66.94,-53.67,24.13,95,94,15.97,GL,2020-11-13 10:44:20
Busselton,-33.65,115.33,55.0,83,29,7.0,AU,2020-11-13 10:41:31
Esperance,-33.87,121.9,55.4,100,90,8.05,AU,2020-11-13 10:44:24
Port Lincoln,-34.73,135.87,53.38,78,38,6.85,AU,2020-11-13 10:44:26
Atuona,-9.8,-139.03,77.23,76,80,14.92,PF,2020-11-13 10:41:45
Chui,-33.7,-53.46,73.9,68,75,9.01,UY,2020-11-13 10:41:56
Ushuaia,-54.8,-68.3,51.8,34,75,21.92,AR,2020-11-13 10:41:29
Saint-Philippe,-21.36,55.77,77.0,78,0,3.36,RE,2020-11-13 10:41:48
Bousso,10.48,16.71,89.04,21,77,4.12,TD,2020-11-13 10:44:37
Punta Arenas,-53.15,-70.92,57.2,33,75,29.97,CL,2020-11-13 10:41:41
Grootfontein,-19.57,18.12,81.03,34,60,10.11,NA,2020-11-13 10:44:42
Saint Paul Harbor,57.79,-152.41,37.4,44,1,12.75,US,2020-11-13 10:41:28
Panabá,21.28,-88.27,83.34,78,22,11.39,MX,2020-11-13 10:44:46
Porbandar,21.64,69.61,80.08,43,0,9.19,IN,2020-11-13 10:44:48
Norman Wells,65.28,-126.83,1.4,84,75,8.05,CA,2020-11-13 10:41:47
Kavieng,-2.57,150.8,82.31,73,81,4.81,PG,2020-11-13 10:44:53
Pevek,69.7,170.31,8.71,96,99,3.71,RU,2020-11-13 10:41:29
Half Moon Bay,37.46,-122.43,52.0,76,90,6.93,US,2020-11-13 10:44:57
Severo-Kuril'sk,50.68,156.12,40.91,84,100,10.74,RU,2020-11-13 10:44:59
De-Kastri,51.47,140.78,31.6,94,79,17.45,RU,2020-11-13 10:45:02
Hong Kong,22.29,114.16,73.99,70,90,16.87,HK,2020-11-13 10:42:25
Clarence Town,-32.58,151.78,63.0,88,75,9.17,AU,2020-11-13 10:45:06
Agropoli,40.35,15.0,64.4,72,40,3.02,IT,2020-11-13 10:45:09
Harper,4.38,-7.72,80.78,81,30,7.74,LR,2020-11-13 10:45:11
Nālūt,30.33,10.85,66.24,36,83,6.91,LY,2020-11-13 10:45:14
Tazovsky,67.47,78.7,-6.18,92,79,6.22,RU,2020-11-13 10:45:16
Hithadhoo,-0.6,73.08,83.03,78,100,20.04,MV,2020-11-13 10:41:41
Souillac,-20.52,57.52,75.2,83,20,3.36,MU,2020-11-13 10:45:20
Airai,-8.93,125.41,62.28,94,9,1.59,TL,2020-11-13 10:41:51
Bredasdorp,-34.53,20.04,69.8,60,93,16.11,ZA,2020-11-13 10:41:34
Boueni,-12.9,45.08,82.4,74,0,11.41,YT,2020-11-13 10:45:27
Muaná,-1.53,-49.22,92.01,50,44,6.13,BR,2020-11-13 10:45:29
Arklow,52.79,-6.14,46.0,85,94,1.01,IE,2020-11-13 10:45:32
Moranbah,-22.0,148.05,71.53,79,0,7.9,AU,2020-11-13 10:45:34
San Patricio,28.02,-97.52,81.0,74,90,9.17,US,2020-11-13 10:41:57
Verkhnebakanskiy,44.85,37.66,44.6,66,0,11.18,RU,2020-11-13 10:45:39
Codrington,-38.27,141.97,48.18,91,36,7.05,AU,2020-11-13 10:41:56
George Town,5.41,100.34,78.8,94,40,6.93,MY,2020-11-13 10:41:41
Barrow,71.29,-156.79,12.2,72,75,11.41,US,2020-11-13 10:40:15
Sumenep,-7.02,113.87,83.07,79,81,7.2,ID,2020-11-13 10:45:48
Yandyki,45.77,47.13,35.94,73,0,7.74,RU,2020-11-13 10:45:50
Ixtapa,20.7,-105.2,83.66,60,18,2.93,MX,2020-11-13 10:45:52
Okha,53.57,142.95,33.71,94,100,17.63,RU,2020-11-13 10:45:55
Kadambūr,8.98,77.87,78.06,85,97,9.78,IN,2020-11-13 10:45:57
Nanortalik,60.14,-45.24,30.4,88,99,4.72,GL,2020-11-13 10:41:51
Lazdijai,54.23,23.52,39.76,87,100,7.99,LT,2020-11-13 10:46:01
Beaufort,5.35,115.75,82.4,83,20,2.24,MY,2020-11-13 10:44:12
Tuktoyaktuk,69.45,-133.04,1.4,84,90,12.75,CA,2020-11-13 10:41:32
Butaritari,3.07,172.79,80.83,71,49,11.43,KI,2020-11-13 10:41:28
Rome,43.21,-75.46,46.99,75,90,10.29,US,2020-11-13 10:46:05
Kuytun,54.34,101.5,21.49,94,85,4.9,RU,2020-11-13 10:46:12
Quatre Cocos,-20.21,57.76,75.99,83,20,3.36,MU,2020-11-13 10:46:15
Tefé,-3.35,-64.71,77.0,94,75,4.7,BR,2020-11-13 10:46:17
Roald,62.58,6.13,50.0,57,0,9.17,NO,2020-11-13 10:46:19
Okitipupa,6.5,4.78,82.0,75,89,4.05,NG,2020-11-13 10:46:22
Najrān,17.49,44.13,75.2,29,0,3.6,SA,2020-11-13 10:46:24
Cooma,-36.23,149.13,41.0,93,56,3.36,AU,2020-11-13 10:46:26
Gerstetten,48.63,10.03,50.0,82,69,5.01,DE,2020-11-13 10:46:28
Chokurdakh,70.63,147.92,-14.33,90,3,3.83,RU,2020-11-13 10:41:27
Loikaw,19.67,97.21,64.45,82,0,2.37,MM,2020-11-13 10:46:33
Oron,4.83,8.23,80.28,84,96,6.42,NG,2020-11-13 10:46:35
Araouane,18.9,-3.53,86.2,13,0,5.88,ML,2020-11-13 10:46:37
Lebu,-37.62,-73.65,56.89,87,33,9.64,CL,2020-11-13 10:46:40
Fairbanks,64.84,-147.72,12.2,85,90,1.12,US,2020-11-13 10:46:42
Tual,-5.67,132.75,83.77,74,64,6.64,ID,2020-11-13 10:41:52
Poum,-20.23,164.02,76.84,83,6,16.67,NC,2020-11-13 10:46:46
Fare,-16.7,-151.02,79.63,77,2,10.07,PF,2020-11-13 10:46:48
Nome,64.5,-165.41,24.8,73,90,10.29,US,2020-11-13 10:46:50
Nandigāma,16.78,80.3,78.8,74,20,4.7,IN,2020-11-13 10:46:53
Praia,14.92,-23.51,91.4,38,0,14.99,CV,2020-11-13 10:46:55
Mogadishu,2.04,45.34,80.85,74,5,13.56,SO,2020-11-13 10:46:57
Provideniya,64.38,-173.3,21.99,92,93,17.63,RU,2020-11-13 10:41:46
Geraldton,-28.77,114.6,66.2,93,75,5.82,AU,2020-11-13 10:41:34
Castro,-24.79,-50.01,77.32,60,93,3.53,BR,2020-11-13 10:41:36
Ugoofaaru,5.67,73.0,82.42,76,100,14.67,MV,2020-11-13 10:47:06
Saint George,37.1,-113.58,39.2,51,1,3.36,US,2020-11-13 10:39:50
Cherskiy,68.75,161.3,-7.69,91,92,6.02,RU,2020-11-13 10:41:28
Faanui,-16.48,-151.75,79.21,75,0,8.21,PF,2020-11-13 10:41:42
Longyearbyen,78.22,15.64,33.8,64,40,33.33,SJ,2020-11-13 10:41:43
Lufilufi,-13.87,-171.6,69.8,94,20,4.7,WS,2020-11-13 10:47:17
Bluff,-46.6,168.33,57.99,61,96,8.99,NZ,2020-11-13 10:41:41
Cidreira,-30.18,-50.21,72.68,84,32,9.8,BR,2020-11-13 10:41:53
São João da Barra,-21.64,-41.05,82.4,65,75,9.17,BR,2020-11-13 10:44:52
Ponta do Sol,32.67,-17.1,71.6,83,40,19.46,PT,2020-11-13 10:47:26
Kez,57.9,53.72,16.12,96,0,4.34,RU,2020-11-13 10:47:28
Los Llanos de Aridane,28.66,-17.92,77.0,65,0,20.8,ES,2020-11-13 10:47:31
Mufulira,-12.55,28.24,70.0,79,70,14.0,ZM,2020-11-13 10:44:03
Preeceville,51.95,-102.67,16.11,95,2,10.87,CA,2020-11-13 10:47:35
Upernavik,72.79,-56.15,13.8,94,100,17.02,GL,2020-11-13 10:41:46
Daru,-9.08,143.21,76.66,85,58,8.37,PG,2020-11-13 10:47:40
Padapada,15.55,120.52,78.8,88,75,2.24,PH,2020-11-13 10:47:42
Hasaki,35.73,140.83,48.2,100,20,3.36,JP,2020-11-13 10:47:44
Mahébourg,-20.41,57.7,75.2,83,20,3.36,MU,2020-11-13 10:47:46
Yulara,-25.24,130.99,73.4,20,0,5.82,AU,2020-11-13 10:47:48
Shirokiy,49.76,129.52,19.27,95,0,3.4,RU,2020-11-13 10:47:51
Banjar,-8.19,114.97,84.2,83,20,10.29,ID,2020-11-13 10:47:53
Kalety,50.56,18.89,44.01,87,40,8.05,PL,2020-11-13 10:47:55
Boca do Acre,-8.75,-67.4,97.9,38,85,2.08,BR,2020-11-13 10:47:57
Ancud,-41.87,-73.82,55.99,81,75,11.41,CL,2020-11-13 10:41:34
Moengo,5.62,-54.4,85.1,81,54,5.57,SR,2020-11-13 10:48:02
Nanning,22.82,108.32,59.0,82,0,4.41,CN,2020-11-13 10:48:05
Mayor Pablo Lagerenza,-19.93,-60.77,94.57,38,29,5.84,PY,2020-11-13 10:48:07
Athabasca,54.72,-113.29,10.4,85,39,1.12,CA,2020-11-13 10:43:32
Kashgar,39.45,75.98,42.8,30,68,4.47,CN,2020-11-13 10:48:11
Codajás,-3.84,-62.06,91.78,54,100,4.12,BR,2020-11-13 10:48:14
Lumeje,-11.55,20.78,74.86,67,99,1.7,AO,2020-11-13 10:48:16
Klaksvík,62.23,-6.59,46.4,93,58,23.04,FO,2020-11-13 10:48:18
Tasiilaq,65.61,-37.64,23.0,53,75,2.24,GL,2020-11-13 10:41:33
Lüderitz,-26.65,15.16,62.44,80,1,2.86,NA,2020-11-13 10:41:52
San Cristobal,7.77,-72.22,80.6,69,40,4.7,VE,2020-11-13 10:48:25
Otradnoye,59.78,30.82,37.99,85,0,5.1,RU,2020-11-13 10:48:27
Pedra Azul,-16.01,-41.3,87.58,40,4,3.74,BR,2020-11-13 10:48:29
Kitimat,54.05,-128.65,32.0,95,100,1.79,CA,2020-11-13 10:45:03
Mehamn,71.04,27.85,42.8,70,0,18.34,NO,2020-11-13 10:48:33
Escanaba,45.75,-87.06,30.0,86,90,13.87,US,2020-11-13 10:45:31
Hamilton,39.18,-84.53,55.4,50,1,3.36,US,2020-11-13 10:41:29
Fortuna,40.6,-124.16,51.01,93,90,25.28,US,2020-11-13 10:48:40
Nakamura,32.98,132.93,59.72,89,93,2.73,JP,2020-11-13 10:48:42
Bull Savanna,17.89,-77.59,82.8,73,57,3.62,JM,2020-11-13 10:48:44
Carnarvon,-24.87,113.63,69.8,83,40,11.41,AU,2020-11-13 10:41:30
Rio Grande,-32.03,-52.1,78.01,65,75,9.17,BR,2020-11-13 10:44:46
Kawalu,-7.38,108.21,73.87,89,50,2.04,ID,2020-11-13 10:48:51
Den Helder,52.96,4.76,55.0,93,75,13.87,NL,2020-11-13 10:48:53
Ahipara,-35.17,173.17,54.75,87,2,1.97,NZ,2020-11-13 10:48:56
Bethel,41.37,-73.41,45.0,93,90,3.36,US,2020-11-13 10:48:58
Matiri,-10.75,34.9,65.91,93,77,5.84,TZ,2020-11-13 10:49:00
Robertsport,6.75,-11.37,81.9,77,6,10.78,LR,2020-11-13 10:49:02
Viedma,-40.81,-63.0,73.99,58,100,4.0,AR,2020-11-13 10:49:05
Saint-Joseph,-21.37,55.62,77.0,78,0,3.36,RE,2020-11-13 10:49:07
Hualmay,-11.1,-77.61,70.99,62,98,12.57,PE,2020-11-13 10:49:09
Bambous Virieux,-20.34,57.76,75.99,83,20,3.36,MU,2020-11-13 10:49:11
Qui Nhon,13.77,109.23,73.36,74,100,11.65,VN,2020-11-13 10:49:13
Raudeberg,61.99,5.14,53.6,54,75,24.16,NO,2020-11-13 10:49:16
Oudtshoorn,-33.59,22.2,71.6,49,0,6.93,ZA,2020-11-13 10:49:18
Saýat,38.78,63.88,41.0,52,0,4.7,TM,2020-11-13 10:49:20
Klyuchi,52.27,79.17,27.01,85,88,10.02,RU,2020-11-13 10:49:22
Hofn,64.25,-15.21,41.0,93,90,5.82,IS,2020-11-13 10:49:25
Thompson,55.74,-97.86,5.0,92,90,5.82,CA,2020-11-13 10:48:27
Neuquén,-38.95,-68.06,77.0,29,0,12.75,AR,2020-11-13 10:49:29
Portland,45.52,-122.68,48.99,93,75,6.93,US,2020-11-13 10:45:48
Talaya,61.38,152.75,-11.65,87,99,2.06,RU,2020-11-13 10:49:34
Tūkrah,32.53,20.58,67.26,68,21,9.22,LY,2020-11-13 10:49:36
Philadelphia,39.95,-75.16,50.0,87,90,8.05,US,2020-11-13 10:46:38
Ghanzi,-21.57,21.78,78.03,46,58,12.39,BW,2020-11-13 10:49:40
Alofi,-19.06,-169.92,73.4,88,97,5.82,NU,2020-11-13 10:49:43
Visby,57.64,18.3,46.4,93,40,6.93,SE,2020-11-13 10:49:45
Manta,-0.95,-80.73,80.6,61,20,11.41,EC,2020-11-13 10:46:23
Adrar,20.5,-10.07,87.55,13,66,8.32,MR,2020-11-13 10:49:49
Washington,47.5,-120.5,36.0,100,90,9.17,US,2020-11-13 10:46:25
Halifax,44.65,-63.57,45.0,81,90,8.05,CA,2020-11-13 10:45:08
Beringovskiy,63.05,179.32,26.49,95,100,28.14,RU,2020-11-13 10:49:56
Nishihara,26.18,127.76,71.6,72,20,4.7,JP,2020-11-13 10:49:58
Moroni,-11.7,43.26,78.93,79,4,6.04,KM,2020-11-13 10:50:00
Saldanha,-33.01,17.94,66.2,68,72,8.05,ZA,2020-11-13 10:50:03
Hay River,60.82,-115.8,17.6,92,96,9.17,CA,2020-11-13 10:50:06
Gonbad-e Kāvūs,37.25,55.17,48.2,87,20,4.7,IR,2020-11-13 10:50:08
Port Elizabeth,-33.92,25.57,71.6,78,0,10.29,ZA,2020-11-13 10:48:40
La Providencia,28.72,-111.58,68.0,53,0,1.01,MX,2020-11-13 10:50:12
Ilulissat,69.22,-51.1,21.2,62,75,16.11,GL,2020-11-13 10:50:14
San-Pédro,4.75,-6.64,80.82,83,55,5.37,CI,2020-11-13 10:48:49
Gaoua,10.3,-3.25,90.88,18,2,6.08,BF,2020-11-13 10:50:19
Kenai,60.55,-151.26,33.8,86,90,3.36,US,2020-11-13 10:50:21
Belokurikha,52.0,84.99,28.53,82,100,1.41,RU,2020-11-13 10:50:23
Waipawa,-41.41,175.52,57.2,67,0,32.21,NZ,2020-11-13 10:50:25
Lukovetskiy,64.3,41.92,35.6,93,90,4.47,RU,2020-11-13 10:50:28
Berbera,10.44,45.01,80.29,65,14,6.26,SO,2020-11-13 10:50:30
Staraya Kulatka,52.72,47.62,30.54,94,38,7.61,RU,2020-11-13 10:50:32
Broome,42.25,-75.83,46.99,70,75,10.29,US,2020-11-13 10:50:34
Sambava,-14.27,50.17,76.19,86,10,6.17,MG,2020-11-13 10:50:36
Hirara,24.8,125.28,74.88,61,100,24.32,JP,2020-11-13 10:50:39
Buin,-33.73,-70.75,72.0,72,75,2.24,CL,2020-11-13 10:50:41
Knysna,-34.04,23.05,71.6,49,0,6.93,ZA,2020-11-13 10:50:43
Makkah al Mukarramah,21.43,39.83,78.73,58,0,7.81,SA,2020-11-13 10:50:45
Le Vauclin,14.55,-60.84,82.4,83,75,11.41,MQ,2020-11-13 10:50:47
Ocós,14.51,-92.19,86.0,66,0,4.7,GT,2020-11-13 10:50:50
Tura,25.52,90.22,65.37,77,0,4.47,IN,2020-11-13 10:50:52
Rawson,-43.3,-65.1,70.79,27,20,5.1,AR,2020-11-13 10:50:54
Constitución,-35.33,-72.42,61.29,66,67,9.57,CL,2020-11-13 10:50:56
Saint-Pierre,-21.34,55.48,77.0,78,0,3.36,RE,2020-11-13 10:50:59
Sovetskiy,61.36,63.58,13.44,90,62,8.32,RU,2020-11-13 10:51:01
Distrikt Brokopondo,4.75,-55.17,88.81,54,30,2.35,SR,2020-11-13 10:51:03
Arroyo de la Encomienda,41.61,-4.8,55.99,93,90,9.17,ES,2020-11-13 10:51:05
Ambrolauri,42.52,43.16,44.6,87,0,3.36,GE,2020-11-13 10:51:07
Bagotville,-28.98,153.42,69.8,77,1,5.82,AU,2020-11-13 10:51:10
Zhuhai,22.28,113.57,75.0,73,40,9.17,CN,2020-11-13 10:51:12
Alugan,12.22,125.48,80.82,84,2,4.83,PH,2020-11-13 10:51:14
Launceston,-41.45,147.17,48.2,87,75,9.17,AU,2020-11-13 10:51:16
Verkhnevilyuysk,63.45,120.32,11.21,96,65,3.91,RU,2020-11-13 10:51:18
West Monroe,32.52,-92.15,68.0,55,1,9.17,US,2020-11-13 10:51:21
Puerto Escondido,15.85,-97.07,85.21,62,0,4.74,MX,2020-11-13 10:51:23
Sabha,27.04,14.43,64.35,40,12,4.27,LY,2020-11-13 10:51:25
Jalu,29.03,21.55,71.08,52,90,4.94,LY,2020-11-13 10:51:27
Koslan,63.46,48.9,16.36,94,0,3.6,RU,2020-11-13 10:51:30
Udachny,66.42,112.4,8.6,92,90,4.47,RU,2020-11-13 10:51:32
Berlevåg,70.86,29.09,39.2,71,0,12.75,NO,2020-11-13 10:51:34
Ţaga,46.95,24.05,43.0,87,90,2.24,RO,2020-11-13 10:51:36
Kavaratti,10.57,72.64,82.81,77,0,6.33,IN,2020-11-13 10:51:38
Takaka,-40.85,172.8,55.0,75,0,5.99,NZ,2020-11-13 10:51:40
Saint-Leu,-21.15,55.28,77.0,78,0,3.36,RE,2020-11-13 10:51:43
Saint-Augustin,51.23,-58.65,39.36,63,0,15.05,CA,2020-11-13 10:51:45
Laas,46.62,10.7,43.0,65,5,1.74,IT,2020-11-13 10:51:47
Uinskoye,56.88,56.58,16.21,96,95,5.68,RU,2020-11-13 10:51:49
Santa Fe,-31.63,-60.7,91.0,24,16,5.01,AR,2020-11-13 10:49:17
Picos,-7.08,-41.47,101.52,22,29,4.41,BR,2020-11-13 10:51:54
Aklera,24.42,76.57,71.96,49,11,7.65,IN,2020-11-13 10:51:56
Valparaíso,-33.04,-71.63,59.0,82,90,6.93,CL,2020-11-13 10:51:58
Lompoc,34.64,-120.46,46.4,93,20,3.36,US,2020-11-13 10:52:00
Mandiana,10.63,-8.68,90.52,20,0,4.03,GN,2020-11-13 10:52:03
Grand Gaube,-20.01,57.66,75.99,77,3,3.0,MU,2020-11-13 10:52:05
Mezhdurechenskiy,59.6,65.93,19.27,95,100,9.71,RU,2020-11-13 10:52:07
Shaunavon,49.65,-108.42,15.8,85,4,14.99,CA,2020-11-13 10:52:09
Inírida,3.87,-67.92,80.31,92,98,3.47,CO,2020-11-13 10:52:11
Matara,5.95,80.54,78.31,87,98,6.42,LK,2020-11-13 10:52:14
Bonavista,48.65,-53.11,46.4,49,27,6.93,CA,2020-11-13 10:52:16
Khani,41.96,42.96,44.6,87,0,3.36,GE,2020-11-13 10:52:18
Nizhniy Kuranakh,58.84,125.49,11.88,91,20,2.73,RU,2020-11-13 10:52:21
Brae,60.4,-1.35,50.0,76,20,24.16,GB,2020-11-13 10:52:23
Kununurra,-15.77,128.73,84.2,79,0,5.82,AU,2020-11-13 10:52:25
Pisco,-13.7,-76.22,70.0,77,0,10.29,PE,2020-11-13 10:52:27
Lyngdal,58.14,7.07,52.0,86,97,8.99,NO,2020-11-13 10:52:30
Katsuura,35.13,140.3,57.2,58,0,8.05,JP,2020-11-13 10:52:32
Redmond,47.67,-122.12,48.0,93,100,1.01,US,2020-11-13 10:49:34
Narendranagar,30.17,78.3,55.17,51,0,5.3,IN,2020-11-13 10:52:36
Grabouw,-34.15,19.02,69.01,68,0,17.22,ZA,2020-11-13 10:52:39
Bilma,18.69,12.92,77.63,23,0,7.49,NE,2020-11-13 10:52:41
Shizukuishi,39.68,140.98,39.47,80,4,6.02,JP,2020-11-13 10:52:43
Korla,41.76,86.15,42.93,51,91,9.37,CN,2020-11-13 10:52:45
Flinders,-34.58,150.86,62.01,89,2,1.01,AU,2020-11-13 10:52:47
Taseyevo,57.22,94.9,19.92,95,61,5.66,RU,2020-11-13 10:52:50
Georgiyevka,43.04,74.71,28.4,100,75,4.47,KZ,2020-11-13 10:52:52
Kangaatsiaq,68.31,-53.46,22.59,97,100,4.47,GL,2020-11-13 10:52:54
Iqaluit,63.75,-68.51,14.0,66,90,2.24,CA,2020-11-13 10:52:56
Paraty,-23.22,-44.71,86.0,55,75,2.24,BR,2020-11-13 10:50:18
Baghdad,33.34,44.4,68.0,42,0,9.17,IQ,2020-11-13 10:53:01
Richards Bay,-28.78,32.04,70.41,78,0,12.12,ZA,2020-11-13 10:53:03
Naze,28.37,129.48,73.4,78,75,19.46,JP,2020-11-13 10:53:05
São Filipe,14.9,-24.5,82.83,59,19,9.62,CV,2020-11-13 10:53:07
Narsaq,60.92,-46.05,17.6,67,20,3.36,GL,2020-11-13 10:53:10
Coquimbo,-29.95,-71.34,59.0,77,90,5.82,CL,2020-11-13 10:50:52
Miles City,46.41,-105.84,23.0,67,1,9.17,US,2020-11-13 10:53:14
Candelaria,13.93,121.42,79.0,93,42,5.5,PH,2020-11-13 10:53:16
Sibolga,1.74,98.78,77.85,83,100,3.83,ID,2020-11-13 10:53:18
Saint-François,46.42,3.91,57.2,82,0,1.12,FR,2020-11-13 10:53:21
Praia da Vitória,38.73,-27.07,69.8,68,20,9.19,PT,2020-11-13 10:53:23
Maceió,-9.67,-35.74,86.0,66,40,16.11,BR,2020-11-13 10:52:05
Dvinskoy Bereznik,62.86,42.71,34.61,97,100,2.53,RU,2020-11-13 10:53:27
Sept-Îles,50.2,-66.38,41.0,60,47,3.36,CA,2020-11-13 10:49:47
Pacific Grove,36.62,-121.92,53.01,86,78,1.01,US,2020-11-13 10:53:32
Olafsvik,64.89,-23.71,36.72,82,85,27.09,IS,2020-11-13 10:53:34
Gamba,-2.65,10.0,76.75,89,100,7.23,GA,2020-11-13 10:53:36
Dingle,11.0,122.67,76.44,89,6,5.57,PH,2020-11-13 10:53:38
Chitral,35.85,71.79,46.99,58,100,4.92,PK,2020-11-13 10:53:40
Katobu,-4.94,122.53,76.95,85,42,3.09,ID,2020-11-13 10:53:43
Swedru,5.54,-0.7,86.0,74,20,8.05,GH,2020-11-13 10:53:45
Três Lagoas,-20.75,-51.68,91.18,43,86,6.71,BR,2020-11-13 10:53:47
College,64.86,-147.8,12.2,85,90,0.96,US,2020-11-13 10:53:49
Umm Kaddadah,13.6,26.69,79.45,16,0,12.24,SD,2020-11-13 10:53:52
Sitka,57.05,-135.33,35.6,93,40,3.36,US,2020-11-13 10:49:17
Tanabe,33.73,135.37,52.0,90,41,11.88,JP,2020-11-13 10:53:56
Te Anau,-45.42,167.72,52.83,71,100,8.39,NZ,2020-11-13 10:53:58
Kyenjojo,0.63,30.62,63.54,95,79,1.21,UG,2020-11-13 10:54:00
Samarai,-10.62,150.67,77.27,78,44,3.76,PG,2020-11-13 10:54:03
Vadsø,70.07,29.75,35.6,80,0,11.41,NO,2020-11-13 10:54:05
Narón,43.52,-8.15,64.99,68,20,11.41,ES,2020-11-13 10:54:07
Yangi Marg`ilon,40.43,71.72,42.8,87,90,4.16,UZ,2020-11-13 10:54:09
